id,itemId,source,comment,todo,block,blockEmpty,empty,mixed,single,total,name,createdAt,updatedAt
14229487,355248693,1,0,0,0,0,0,0,0,1,loader.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229488,355248695,1,0,0,0,0,0,0,0,1,loaderPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229489,355248697,1,0,0,0,0,0,0,0,1,loadingContent.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229490,355248700,1,0,0,0,0,0,0,0,1,loadingPage.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229491,355248703,1,0,0,0,0,0,0,0,1,loadingPageGraphic.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229492,355248707,1,0,0,0,0,0,0,0,1,loadingPageIllustration.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229493,355248711,1,0,0,0,0,0,0,0,1,loadingPageTips.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229494,355248715,73,11,0,0,0,13,1,11,96,locationService.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229495,355248719,1,0,0,0,0,0,0,0,1,logTimeLineItem.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229496,355248721,1,0,0,0,0,0,0,0,1,logTimeLineItemPo.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229497,355248726,1,0,0,0,0,0,0,0,1,logger.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229498,355248727,1,0,0,0,0,0,0,0,1,lookupRelationshipsLazyFetcher.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229499,355248729,1,0,0,0,0,0,0,0,1,lookupRelationshipsSelectionTracker.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229500,355248732,52,2,0,0,0,6,0,2,60,lwcAccountList.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229501,355248735,20,0,0,0,0,3,0,0,23,lwcBQ3.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
14229502,355248738,4,0,0,0,0,1,0,0,5,lwcBQFlow.js,2026-05-04T00:45:14.367Z,2026-05-04T00:45:14.367Z
