metadataName,scanName,itemName,id,metadataId,itemId,type,description,line,column,severity,rule,category,engine,url,problem,name,label,createdAt,updatedAt
11855,12909,355247164,150384903,11855,355247164,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,76,advanceHomePageArchiverApiUsage.js,advanceHomePageArchiverApiUsage,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247168,150384904,11855,355247168,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,77,advanceHomePageDataStorageArchiverVsSf.js,advanceHomePageDataStorageArchiverVsSf,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247168,150384905,11855,355247168,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,78,advanceHomePageDataStorageArchiverVsSf.js,advanceHomePageDataStorageArchiverVsSf,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247172,150384906,11855,355247172,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,79,advanceHomePageDounghtChart.js,advanceHomePageDounghtChart,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247172,150384907,11855,355247172,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,80,advanceHomePageDounghtChart.js,advanceHomePageDounghtChart,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247174,150384908,11855,355247174,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,81,advanceHomePageDounghtChartOrgnaizer.js,advanceHomePageDounghtChartOrgnaizer,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247174,150384909,11855,355247174,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,82,advanceHomePageDounghtChartOrgnaizer.js,advanceHomePageDounghtChartOrgnaizer,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247178,150384910,11855,355247178,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,83,advanceHomePageFileStorageArchiverVsSf.js,advanceHomePageFileStorageArchiverVsSf,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247178,150384911,11855,355247178,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,84,advanceHomePageFileStorageArchiverVsSf.js,advanceHomePageFileStorageArchiverVsSf,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247182,150384912,11855,355247182,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,85,advanceHomePageFooter.js,advanceHomePageFooter,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247182,150384913,11855,355247182,lwc,'hidden' is not defined.,1,2,2,no-undef,problem,eslint-lwc,https://eslint.org/docs/latest/rules/no-undef,86,advanceHomePageFooter.js,advanceHomePageFooter,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
11855,12909,355247184,150384914,11855,355247184,lwc,Expected an assignment or function call and instead saw an expression.,1,1,2,no-unused-expressions,suggestion,eslint-lwc,https://eslint.org/docs/latest/rules/no-unused-expressions,87,advanceHomePageFooterPo.js,advanceHomePageFooterPo,2026-05-04T00:45:43.543Z,2026-05-04T00:45:43.543Z
