metadataName,scanName,itemName,id,metadataId,itemId,problem,line,ruleset,rule,priority,description,type,column,engine,url,name,label,createdAt,updatedAt
11855,12909,355237702,144983815,11855,355237702,52,23,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ActionDispatcherViewSelectedRecord.cls,ActionDispatcherViewSelectedRecord,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237706,144983816,11855,355237706,53,4,Documentation,ApexDoc,3,Missing ApexDoc comment,class,8,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AppHomeOpened.cls,AppHomeOpened,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237706,144983817,11855,355237706,54,10,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AppHomeOpened.cls,AppHomeOpened,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237706,144983818,11855,355237706,55,15,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AppHomeOpened.cls,AppHomeOpened,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237706,144983819,11855,355237706,56,20,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,AppHomeOpened.cls,AppHomeOpened,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237706,144983820,11855,355237706,57,42,Performance,AvoidDebugStatements,3,Avoid debug statements since they impact on performance,class,17,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements,AppHomeOpened.cls,AppHomeOpened,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237706,144983821,11855,355237706,58,42,Best Practices,DebugsShouldUseLoggingLevel,3,Calls to System.debug should specify a logging level.,class,17,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel,AppHomeOpened.cls,AppHomeOpened,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237707,144983822,11855,355237707,59,1,Documentation,ApexDoc,3,Missing ApexDoc comment,class,21,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ApplicationConstant.cls,ApplicationConstant,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237708,144983823,11855,355237708,60,1,Documentation,ApexDoc,3,Missing ApexDoc comment,class,21,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ArchiveDataQueryActionWrapper.cls,ArchiveDataQueryActionWrapper,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237708,144983824,11855,355237708,61,3,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ArchiveDataQueryActionWrapper.cls,ArchiveDataQueryActionWrapper,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237708,144983825,11855,355237708,62,23,Documentation,ApexDoc,3,Missing ApexDoc comment,class,12,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ArchiveDataQueryActionWrapper.cls,ArchiveDataQueryActionWrapper,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237708,144983826,11855,355237708,63,45,Documentation,ApexDoc,3,Missing ApexDoc comment,class,16,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ArchiveDataQueryActionWrapper.cls,ArchiveDataQueryActionWrapper,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237708,144983827,11855,355237708,64,61,Documentation,ApexDoc,3,Missing ApexDoc comment,class,19,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc,ArchiveDataQueryActionWrapper.cls,ArchiveDataQueryActionWrapper,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
11855,12909,355237708,144983828,11855,355237708,65,69,Security,ApexSuggestUsingNamedCred,3,Suggest named credentials for authentication,class,35,pmd,https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred,ArchiveDataQueryActionWrapper.cls,ArchiveDataQueryActionWrapper,2026-05-04T00:46:59.813Z,2026-05-04T00:46:59.813Z
